keycat,letterkey,keylabel
bruises?,t,bruises
bruises?,f,no
cap-color,n,brown
cap-color,b,buff
cap-color,c,cinnamon
cap-color,g,gray
cap-color,r,green
cap-color,p,pink
cap-color,u,purple
cap-color,e,red
cap-color,w,white
cap-color,y,yellow
cap-shape,b,bell
cap-shape,c,conical
cap-shape,x,convex
cap-shape,f,flat
cap-shape,k,knobbed
cap-shape,s,sunken
cap-surface,f,fibrous
cap-surface,g,grooves
cap-surface,y,scaly
cap-surface,s,smooth
gill-attachment,a,attached
gill-attachment,d,descending
gill-attachment,f,free
gill-attachment,n,notched
gill-color,k,black
gill-color,n,brown
gill-color,b,buff
gill-color,h,chocolate
gill-color,g,gray
gill-color,r,green
gill-color,o,orange
gill-color,p,pink
gill-color,u,purple
gill-color,e,red
gill-color,w,white
gill-color,y,yellow
gill-size,b,broad
gill-size,n,narrow
gill-spacing,c,close
gill-spacing,w,crowded
gill-spacing,d,distant
habitat,g,grasses
habitat,l,leaves
habitat,m,meadows
habitat,p,paths
habitat,u,urban
habitat,w,waste
habitat,d,woods
odor,a,almond
odor,l,anise
odor,c,creosote
odor,y,fishy
odor,f,foul
odor,m,musty
odor,n,none
odor,p,pungent
odor,s,spicy
population,a,abundant
population,c,clustered
population,n,numerous
population,s,scattered
population,v,several
population,y,solitary
ring-number,n,none
ring-number,o,one
ring-number,t,two
ring-type,c,cobwebby
ring-type,e,evanescent
ring-type,f,flaring
ring-type,l,large
ring-type,n,none
ring-type,p,pendant
ring-type,s,sheathing
ring-type,z,zone
spore-print-color,k,black
spore-print-color,n,brown
spore-print-color,b,buff
spore-print-color,h,chocolate
spore-print-color,r,green
spore-print-color,o,orange
spore-print-color,u,purple
spore-print-color,w,white
spore-print-color,y,yellow
stalk-color-above-ring,n,brown
stalk-color-above-ring,b,buff
stalk-color-above-ring,c,cinnamon
stalk-color-above-ring,g,gray
stalk-color-above-ring,o,orange
stalk-color-above-ring,p,pink
stalk-color-above-ring,e,red
stalk-color-above-ring,w,white
stalk-color-above-ring,y,yellow
stalk-color-below-ring,n,brown
stalk-color-below-ring,b,buff
stalk-color-below-ring,c,cinnamon
stalk-color-below-ring,g,gray
stalk-color-below-ring,o,orange
stalk-color-below-ring,p,pink
stalk-color-below-ring,e,red
stalk-color-below-ring,w,white
stalk-color-below-ring,y,yellow
stalk-root,b,bulbous
stalk-root,c,club
stalk-root,u,cup
stalk-root,e,equal
stalk-root,?,missing
stalk-root,z,rhizomorphs
stalk-root,r,rooted
stalk-shape,e,enlarging
stalk-shape,t,tapering
stalk-surface-above-ring,f,fibrous
stalk-surface-above-ring,y,scaly
stalk-surface-above-ring,k,silky
stalk-surface-above-ring,s,smooth
stalk-surface-below-ring,f,fibrous
stalk-surface-below-ring,y,scaly
stalk-surface-below-ring,k,silky
stalk-surface-below-ring,s,smooth
veil-color,n,brown
veil-color,o,orange
veil-color,w,white
veil-color,y,yellow
veil-type,p,partial
veil-type,u,universal
edible?,e,edible
edible?,p,poisonous
